AAPL,Apple Inc,20140415,Apple cannot escape U S states e book antitrust cases judge,NEW YORK April 15 Apple Inc on Tuesday lost an attempt to dismiss lawsuits by state attorneys general accusing it of conspiring with five major publishers to fix e book prices
AAPL,Apple Inc,20140415,Smartphone makers carriers embrace anti theft initiative,NEW YORK April 15 Major U S wireless carriers and smartphone makers have agreed to introduce tools to enable users to lock their devices and wipe them clean of data if stolen responding to pressure on the telecommunications industry to do more to stem theft
AAPL,Apple Inc,20140415,UPDATE 1 Keep Steve Jobs personality out of trial tech companies,
AAPL,Apple Inc,20140415,US STOCKS SNAPSHOT Wall St gets lift from Coca Cola Nasdaq lags,NEW YORK April 15 U S stocks ended higher after a volatile session on Tuesday lifted by gains in Coca Cola and Johnson Johnson though weakness in Apple Tesla and Netflix limited the Nasdaq s advance
AAPL,Apple Inc,20140417,UPDATE 1 Patent consortium Rockstar loses bid to move Google case,SAN FRANCISCO April 17 A U S judge on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation from Google Inc s home turf in California to Texas according to a court ruling
AAPL,Apple Inc,20140417,Wall Street Week Ahead Spring fever brings hope for U S earnings,NEW YORK Earnings season shifts into high gear next week and with nearly one third of S P 500 names set to post results investors hope the news provides a catalyst to buy stocks and leave the market s recent weakness in the dust
AAPL,Apple Inc,20140417,Wall St Week Ahead Spring fever brings hope for U S earnings,NEW YORK April 17 Earnings season shifts into high gear next week and with nearly one third of S P 500 names set to post results investors hope the news provides a catalyst to buy stocks and leave the market s recent weakness in the dust
AAPL,Apple Inc,20140418,Tech workers seek to use Steve Jobs evidence in upcoming trial on no hire accords,SAN FRANCISCO April 17 Four large technology companies should not be allowed to limit evidence about Apple Inc co founder Steve Jobs at an upcoming trial over no hire agreements in Silicon Valley according to a court document filed late on Thursday by employees suing the firms
AAPL,Apple Inc,20140421,Apple Google vie to offer exclusive game apps WSJ,April 20 Apple Inc and Google Inc are wooing game developers to ensure that top game titles arrive first on devices powered by their respective operating system the Wall Street Journal reported citing people familiar with the matter
AAPL,Apple Inc,20140423,Apple expands buybacks by 30 bln OKs 7 for 1 stock split,SAN FRANCISCO April 23 Apple Inc has approved another 30 billion in share buybacks till the end of 2015 and authorized a rarely seen seven for one stock split addressing calls to share more of its cash hoard while broadening the stock s appeal to individual investors
AAPL,Apple Inc,20140423,Chip designer ARM sees smartphone recovery in second half,LONDON ARM Holdings whose chip technology powers Apple s iPhone said demand for smartphones would pick up in the second half after a disappointing end to 2013 resulted in first quarter profit rising less than in previous years
AAPL,Apple Inc,20140423,UPDATE 1 Chip designer ARM sees smartphone recovery in second half,Shares down 3 pct Adds CFO comments analyst reaction shares
AAPL,Apple Inc,20140423,UPDATE 2 Apple expands buybacks by 30 bln OKs 7 for 1 stock split,Adds details from release Icahn s tweet updates share reaction
AAPL,Apple Inc,20140423,US STOCKS Wall St snaps six day run Apple to split stock,Dow off 0 1 pct S P 500 down 0 2 pct Nasdaq off 0 8 pct Adds Apple results split
AAPL,Apple Inc,20140424,Apple buoys Nasdaq Ukraine weighs on broader market,NEW YORK The Nasdaq rose modestly in a choppy session on Thursday lifted by a rally in Apple shares a day after the iPad maker s strong results though tensions in Ukraine held the broader market in check Video
