MTU,Mitsubishi UFJ Financial Group Inc,20140509,UPDATE 1-Mitsubishi UFJ may bid for BNY Mellon's Trust Unit - Bloomberg ,May 9 Mitsubishi UFJ Financial Group Inc   Japan's biggest lender  is considering bidding for the corporate trust arm of Bank of New York Mellon Corp  Bloomberg reported on Friday  citing unidentified people with knowledge of the matter.,normal
MTU,Mitsubishi UFJ Financial Group Inc,20140509,Mitsubishi UFJ may bid for BNY Mellon's Trust Unit -Bloomberg ,May 9 Mitsubishi UFJ Financial Group Inc   Japan's biggest lender  is considering bidding for the corporate trust arm of Bank of New York Mellon Corp  Bloomberg reported on Friday citing unidentified people with knowledge of the matter.,normal
NBHC,National Bank Holdings Corporation,20140509,UPDATE 1-Greece's National Bank completes 2.5 bln euro share sale ,* Share sale to raise 2.5 bln euros to boost capital   (Adds background  details),topStory
OMC,Omnicom Group Inc,20140509,Deals of the day- Mergers and acquisitions ,(Adds Seat Pagine  Co-operative  Hypo Alpe Adria  Total  Jiangxi Copper  Essar Energy  TCC  Zale  Nuevo Midstream  Agrium  ADMIE  Canadian Natural Resources  updates Prysmian  Publicis),topStory
OMC,Omnicom Group Inc,20140509,Battle for control destroyed $35-billion Omnicom-Publicis merger ,LONDON/NEW YORK/PARIS The $35-billion merger of U.S.-based Omnicom and France's Publicis collapsed on Friday after a battle for control destroyed plans to create the world's largest advertising agency. | Video ,normal
OMC,Omnicom Group Inc,20140509,CORRECTED-UPDATE 6-Battle for control destroyed $35 bln Omnicom-Publicis merger ,(Corrects paragraph 3 to show Omnicom CEO as John Wren  not John Levy),normal
OMC,Omnicom Group Inc,20140509,US STOCKS-Wall St to dip at open; Nasdaq set for 4th straight fall ,* Futures off: Dow 22 pts  S&P 3 pts  Nasdaq 7.25 pts   (Adds Ralph Lauren  updates prices),normal
OMC,Omnicom Group Inc,20140509,CORRECTED-US STOCKS-Futures dip; Nasdaq set for worst weekly loss in four ,(Corrects to show earnings data through Thursday morning  not Wednesday),normal
OMC,Omnicom Group Inc,20140509,Publicis CEO says board backs him after Omnicom deal fails ,PARIS Advertising agency Publicis will probably return money to shareholders and pursue smaller acquisitions this year as it seeks to get back on track after the failure of a $35 billion merger with U.S. peer Omnicom.,normal
OMC,Omnicom Group Inc,20140509,UPDATE 1-Publicis CEO says board backs him after Omnicom deal fails ,* Levy says no large acquisitions in works  few small ones,normal
