CVE,Cenovus Energy Inc,20140811,Cenovus plans two-week turnaround at Foster Creek oil sands project ,CALGARY  Alberta  Aug 11 Cenovus Energy  said on Monday production at its 114 000 barrel-per-day Foster Creek oil sands project in northern Alberta will be impacted by approximately 30 percent during a two-week-long partial turnaround in the third quarter.,topStory
CVX,Chevron Corporation,20140811,Singapore's KrisEnergy buys out Chevron in Cambodian oil block ,SINGAPORE  Aug 11 Singapore-based upstream oil and gas firm KrisEnergy Ltd said on Monday it has agreed a $65 million deal to buy out Chevron Corp's  interest in an offshore oil block in Cambodia and take over as the block's operator.,topStory
CAG,ConAgra Brands Inc,20140811,UPDATE 1-ConAgra Foods CEO Gary Rodkin to retire in May ,Aug 11 Packaged foods maker ConAgra Foods Inc  said long-time Chief Executive Gary Rodkin would retire in May 2015 at the end of the company's fiscal year.,topStory
CAG,ConAgra Brands Inc,20140811,ConAgra Foods CEO Gary Rodkin to retire ,Aug 11 Packaged foods maker ConAgra Foods Inc  said long-time Chief Executive Gary Rodkin would retire in May 2015 at the end of the company's fiscal year.,normal
COP,ConocoPhillips,20140811,UPDATE 1-Conoco plans 4-5 week turnaround at Surmont oil sands in Q3 ,CALGARY  Alberta  Aug 11 Production at ConocoPhillips' Surmont oil sands project will shut down during a four to five week turnaround starting on Sept. 2  with 30 000 barrels per day going offline  a company spokeswoman said on Monday.,topStory
DHR,Danaher Corporation,20140811,Nobel Biocare said to attract takeover interest -Bloomberg ,LONDON/ZURICH  Aug 11 Swiss dental-implant maker Nobel Biocare has attracted interest from possible buyers including U.S. conglomerate Danaher Corp and buyout group EQT Partners  Bloomberg reported on Monday  citing people with knowledge of the matter.,topStory
DF,Dean Foods Company,20140811,Dean Foods withdraws 2014 forecast as milk prices stay volatile ,Dean Foods Co  the largest U.S. milk processor  withdrew its full-year profit forecast  saying raw milk prices remained "unpredictable and volatile.",topStory
DF,Dean Foods Company,20140811,UPDATE 2-Dean Foods withdraws 2014 forecast as milk prices stay volatile ,Aug 11 Dean Foods Co  the largest U.S. milk processor  withdrew its full-year profit forecast  saying raw milk prices remained "unpredictable and volatile.",normal
DF,Dean Foods Company,20140811,Dean Foods withdraws full-year forecast ,Aug 11 Dean Foods Co said it was withdrawing its full-year forecast  citing record high milk costs.,normal
DB,Deutsche Bank AG,20140811,Top China bank exec Lee Zhang sued by Deutsche Bank over fund transfer -filing ,HONG KONG  Aug 11 Deutsche Bank AG is suing former employee Lee Zhang for $6.3 million over the transfer of funds to a bank account in Shenzhen in 2001  according to Hong Kong court documents.,topStory
ERJ,Embraer-Empresa Brasileira de Aeronautica,20140811,Embraer trims global business jet outlook  U.S. looks stronger ,SAO PAULO  Aug 11 Brazilian planemaker Embraer SA on Monday raised its outlook for executive jet sales in North America over the next decade while trimming its global sales forecast  highlighting the importance of the U.S. market for a business jet recovery.,topStory
EEP,Enbridge Energy LP,20140811,Enbridge says no plans to imitate Kinder Morgan consolidation ,CALGARY Alberta Enbridge Inc   Canada's largest pipeline company  said on Monday it has no plans to imitate rival Kinder Morgan Inc's  $44 billion plan to consolidate its publicly traded units into a single company.,topStory
ENB,Enbridge Inc,20140811,Enbridge says no plans to imitate Kinder Morgan consolidation ,CALGARY Alberta Enbridge Inc   Canada's largest pipeline company  said on Monday it has no plans to imitate rival Kinder Morgan Inc's  $44 billion plan to consolidate its publicly traded units into a single company.,topStory
ENB,Enbridge Inc,20140811,Enbridge says no plans to imitate Kinder Morgan consolidation ,CALGARY  Alberta  Aug 11 Enbridge Inc  Canada's largest pipeline company  said on Monday it has no plans to imitate rival Kinder Morgan Inc's $44 billion plan to consolidate its publicly traded units into a single company.,normal
XOM,Exxon Mobil Corporation,20140811,UPDATE 2-Mexican president signs landmark energy reform into law ,(Adds comment from ExxonMobil spokesman  Credit Suisse report  paragraphs 9-12),topStory
XOM,Exxon Mobil Corporation,20140811,ExxonMobil starts drilling for oil in Russia's Arctic ,SOCHI Russia U.S. oil giant ExxonMobil began drilling in Russia's Arctic on Saturday  despite Western sanctions imposed on its Russian partner Rosneft  and was hailed by Russia's president as an model of "cooperation".,normal
GFA,Gafisa SA,20140811,Brazil's Gafisa maintains pace for middle-income unit ,SAO PAULO  Aug 11 Brazilian homebuilder Gafisa SA plans to keep up the pace of new construction for its mid-market brand in the third quarter  with about 350 million reais ($154 million) worth of projects  Chief Executive Sandro Gamba said on a Monday earnings call.,topStory
GSK,GlaxoSmithKline PLC,20140811,Exclusive: GlaxoSmithKline faces fresh drug bribery claims in Syria ,LONDON GlaxoSmithKline  faces new allegations that it bribed Syrian doctors and officials to boost sales of its medicines  following recent accusations of corruption in its non-prescription business in the country.,topStory
GS,Goldman Sachs Group Inc (The),20140811,BRIEF-Goldman Sachs  Berenberg placing up to 2.9 mln shares in Rhoen Klinikum ,Aug 11 Goldman Sachs and Berenberg:  * Goldman Sachs and berenberg say they are selling up to 2 913 000 ordinary   shares in Rhoen Klinikum via accelerated bookbuilding to institutional shareholders   * The shares have been acquired from Alecta Pensionsforsakring Omsesidigt.  Alecta Pensionsforsakring Omsesidigt will own a residual position of 4mm shares of Rhoen-Klinikum AG after this transaction. Alecta Pensionsforsakring Omsesidigt will not make additional sales of shares in Rhoen,topStory
HES,Hess Corporation,20140811,Hess suspends Iraqi Kurdistan operations  evacuates staff ,LONDON U.S. oil producer Hess Corp has suspended oil-drilling operations in Iraqi Kurdistan and started to evacuate non-essential staff amid spreading violence in the region  its minority partner Petroceltic said.,topStory
HES,Hess Corporation,20140811,UPDATE 1-Hess suspends Iraqi Kurdistan operations  evacuates staff ,LONDON  Aug 11 U.S. oil producer Hess Corp  has suspended oil-drilling operations in Iraqi Kurdistan and started to evacuate non-essential staff amid spreading violence in the region  its minority partner Petroceltic  said.,normal
HES,Hess Corporation,20140811,Petroceltic  Hess suspend Iraqi Kurdistan operations  evacuate staff ,LONDON  Aug 11 Independent oil and gas explorer Petroceltic and its partner Hess Middle East New Ventures have suspended operations in Iraqi Kurdistan and are evacuating non-essential staff  the Irish company said on Monday.,normal
KMI,Kinder Morgan Inc,20140811,Top U.S. pipeline CEO Kinder sees new acquisitions; units soar ,HOUSTON/NEW YORK The biggest U.S. pipeline company  Kinder Morgan Inc   will be better able to acquire rivals after it consolidates as a single company and buys out investors in its publicly traded units for $44 billion  its CEO said on Monday.,topStory
KMI,Kinder Morgan Inc,20140811,UPDATE 4-Top U.S. pipeline CEO Kinder sees new acquisitions; units soar ,(Adds comments from IRS  fund manager seeing few similar deals),normal
KMI,Kinder Morgan Inc,20140811,REFILE-US STOCKS-Wall St ends up for second day on hopes for Russia relief ,(Refiles to fix typographical error in paragraph 3 by removing  extraneous letter 't' from ETF's name),normal
KMI,Kinder Morgan Inc,20140811,U.S. Treasury looking at increase in master limited partnerships ,WASHINGTON The U.S. Treasury Department is looking into increased use by companies of the master limited partnership (MLP) as a business structure  a department spokesperson said on Monday  hours after a pioneering user turned its back on the MLP.,normal
KMI,Kinder Morgan Inc,20140811,Enbridge says no plans to imitate Kinder Morgan consolidation ,CALGARY Alberta Enbridge Inc   Canada's largest pipeline company  said on Monday it has no plans to imitate rival Kinder Morgan Inc's  $44 billion plan to consolidate its publicly traded units into a single company.,normal
KMI,Kinder Morgan Inc,20140811,Enbridge says no plans to imitate Kinder Morgan consolidation ,CALGARY  Alberta  Aug 11 Enbridge Inc  Canada's largest pipeline company  said on Monday it has no plans to imitate rival Kinder Morgan Inc's $44 billion plan to consolidate its publicly traded units into a single company.,normal
KMI,Kinder Morgan Inc,20140811,Deals of the day- Mergers and acquisitions ,(Adds Cutrale  Kommunalkredit  Superior Energy  SAIL  ValueAct Capital  Banca Popolare  MOL  Bunge Ltd; updates Kinder Morgan),normal
KMI,Kinder Morgan Inc,20140811,Kinder Morgan to fold units into one company in $70 billion deal ,Top U.S. pipeline company Kinder Morgan Inc said on Sunday it will put all its publicly traded units under one roof  in a $70 billion deal  responding to investor concerns about its growth prospects and complicated financial structure. | Video ,normal
KMI,Kinder Morgan Inc,20140811,Kinder Morgan bonds rally on merger news ,NEW YORK  Aug 11 (IFR) - Bonds of oil and gas pipeline company Kinder Morgan Inc rallied Monday on expectations that its credit ratings would be boosted to investment-grade following a US$70bn deal to bring all of its publicly traded units into one group.,normal
KMI,Kinder Morgan Inc,20140811,US STOCKS-Wall St up for second straight session in broad rally ,* Indexes up: Dow 0.4 pct  S&P 0.6 pct  Nasdaq 1 pct   (Updates to midday trading),normal
KKR,KKR & Co LP,20140811,Treasury Wine set for radical overhaul under KKR-led bid ,HONG KONG A KKR & Co-led takeover of Australia's Treasury Wine Estates Ltd  would likely lead to a long and drastic overhaul  resulting in a much smaller but more profitable company  bankers familiar with the matter said.,topStory
KKR,KKR & Co LP,20140811,TPG's $3.1 billion move for Australia's Treasury Wine sets up clash with rival KKR ,SYDNEY/HONG KONG Two global private equity giants are set to face off in a battle for Australia's Treasury Wine Estates Ltd  after TPG Capital Management LP [TPG.UL] matched a $3.1 billion move from KKR & Co LP  for one of the world's biggest wine makers.,normal
KKR,KKR & Co LP,20140811,UPDATE 3-TPG's $3.1 bln move for Australia's Treasury Wine sets up clash with rival KKR ,* Shares rise as investors bet on bid battle prospect   (Adds analyst comment  share close  due diligence detail),normal
KKR,KKR & Co LP,20140811,TPG's $3.1 billion move for Australia's Treasury Wine sets up clash with rival KKR ,SYDNEY/HONG KONG Private equity giant TPG Capital Management LP made a $3.1 billion approach for Australia's Treasury Wine Estates Ltd TWE.AX  a source said  setting the scene for a possible bid war for the world's No.2 winemaker with rival KKR & Co KKR.N.,normal
KKR,KKR & Co LP,20140811,Asia Private Equity Weekly News  Aug 11  2014 ,Aug 11 News and developments in Asia private equity from Reuters News for the week ended Aug. 8.,normal
MCD,McDonald&#39;s Corporation,20140811,UPDATE 1-McDonald's  Yum release supplier data after China food safety scare ,SHANGHAI  Aug 11 Five fast food chains including McDonald's and Yum Brands Inc have published details of their suppliers on their Chinese websites following a request from Shanghai authorities after a food safety scare.,topStory
MCD,McDonald&#39;s Corporation,20140811,McDonald's  Yum release supplier data after China food safety scare ,SHANGHAI Five fast food chains including McDonald's  and Yum Brands Inc  have published details of their suppliers on their Chinese websites  following a request from Shanghai authorities after the latest food safety scare.,normal
